id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths
53326420,Rental unit in Brooklyn · 2 bedrooms · 2 beds · 2 baths,1468231,Alan,Brooklyn,Williamsburg,40.71932,-73.95471,Entire home/apt,450.0,30,1,2021-12-04,0.04,1,0,0,No License,No rating,2,2,2
52861365,Rental unit in Brooklyn · ★4.25 · 4 bedrooms · 4 beds · 1 bath,305489297,Stavros,Brooklyn,Windsor Terrace,40.65869,-73.9828,Entire home/apt,130.0,30,4,2023-05-08,0.16,6,365,1,No License,4.25 ,4,4,1
50128696,Home in Brooklyn · ★4.42 · 3 bedrooms · 5 beds · 2 baths,236178892,Eli & Brachie,Brooklyn,Crown Heights,40.67129,-73.92768,Entire home/apt,257.0,1,74,2023-12-11,2.36,2,168,25,Exempt,4.42 ,3,5,2
38522188,Home in Queens · ★4.90 · 1 bedroom · 1 bed · 2 shared baths,2930761,Dee,Queens,Flushing,40.75784,-73.78813,Private room,85.0,30,21,2023-07-29,0.4,9,52,2,No License,4.90 ,1,1,2
50563028,Rental unit in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,74310552,Jordan,Manhattan,Chelsea,40.7467,-74.00189,Entire home/apt,150.0,30,3,2023-01-02,0.12,1,0,0,No License,5.0 ,1,1,1
53639782,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 bath,65905028,Lucie,Brooklyn,Fort Greene,40.68903,-73.97893,Entire home/apt,155.0,30,2,2023-05-27,0.17,1,31,2,No License,No rating,1,1,1
49910031,Rental unit in Queens · Studio · 2 beds · 1 bath,194940666,Quality,Queens,Far Rockaway,40.604,-73.75148,Entire home/apt,100.0,30,1,2022-08-15,0.06,6,365,0,No License,No rating,Studio,2,1
578423657057251360,Condo in Queens · ★4.35 · 1 bedroom · 1 bed · 1 shared bath,448665899,Yanchen,Queens,Corona,40.74399,-73.85502,Private room,75.0,30,34,2023-09-05,1.56,2,309,8,No License,4.35 ,1,1,1
633939380745222351,Condo in Brooklyn · ★4.71 · 3 bedrooms · 3 beds · 2 baths,450161902,Natalie,Brooklyn,Flatbush,40.63991,-73.96346,Entire home/apt,124.0,30,24,2023-10-25,1.23,18,213,23,No License,4.71 ,3,3,2
29521683,Home in Queens · ★4.56 · 1 bedroom · 2 beds · 1 private bath,78339088,Alexis,Queens,Corona,40.75128,-73.85356,Private room,216.0,30,158,2023-09-05,2.54,2,90,13,No License,4.56 ,1,2,1
40864895,Rental unit in Brooklyn · 2 bedrooms · 2 beds · 1 bath,318094946,Nela,Brooklyn,Bath Beach,40.60495,-74.01262,Entire home/apt,109.0,30,1,2021-01-02,0.03,1,263,0,No License,No rating,2,2,1
10160215,Townhouse in Gravesend Brooklyn  · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,2787,John,Brooklyn,Gravesend,40.60813,-73.9738,Private room,249.0,30,31,2023-08-26,0.32,2,180,1,No License,4.84 ,1,1,1
24162261,Rental unit in Queens · ★4.92 · 2 bedrooms · 2 beds · 1 private bath,83377687,Fernando,Queens,Jackson Heights,40.75414,-73.85671,Private room,130.0,31,209,2023-11-29,3.0,1,174,48,No License,4.92 ,2,2,1
9473889,Rental unit in Brooklyn · ★4.87 · 1 bedroom · 2 beds · 1 bath,49101398,Nicholas,Brooklyn,Gravesend,40.59584,-73.9753,Entire home/apt,125.0,30,46,2023-12-05,0.47,4,260,8,No License,4.87 ,1,2,1
740650128218021110,Guest suite in The Bronx · ★3.88 · 2 bedrooms · 3 beds · 1 bath,52722718,Kevin,Bronx,Baychester,40.8707,-73.83998,Entire home/apt,80.0,30,8,2023-06-27,0.59,4,51,5,No License,3.88 ,2,3,1
2870840,Rental unit in New York · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,1668930,Julio,Manhattan,Washington Heights,40.85026,-73.94117,Private room,69.0,30,120,2023-10-23,1.03,2,363,11,No License,4.86 ,1,1,1
23810123,Home in Queens · ★4.83 · 2 bedrooms · 2 beds · 2 baths,23340570,Mizanur,Queens,Woodside,40.75496,-73.90209,Entire home/apt,150.0,30,6,2023-09-10,0.31,1,230,2,No License,4.83 ,2,2,2
920989843818557838,Rental unit in New York · 1 bedroom · 1 bed · 1 shared bath,419900720,Natalia,Manhattan,Harlem,40.82456,-73.94808,Private room,47.0,30,1,2023-08-02,0.19,2,365,1,No License,No rating,1,1,1
997432199888717593,Rental unit in Brooklyn · ★5.0 · 3 bedrooms · 3 beds · 1 bath,540531448,Raymond,Brooklyn,Sunset Park,40.66150910915497,-73.99449017617512,Entire home/apt,212.0,3,6,2023-12-13,2.57,3,252,6,Exempt,5.0 ,3,3,1
46688810,Rental unit in Queens · ★4.84 · 2 bedrooms · 4 beds · 1 bath,374308047,Costa,Queens,Sunnyside,40.73987,-73.92737,Entire home/apt,101.0,30,160,2023-12-03,4.29,1,89,52,No License,4.84 ,2,4,1
934303061471257276,Rental unit in New York · ★4.36 · 1 bedroom · 1 bed · 1 shared bath,480741357,Mariana,Manhattan,Harlem,40.823696,-73.951262,Private room,80.0,2,11,2024-01-02,1.98,1,302,11,Exempt,4.36 ,1,1,1
744215016935384966,Guest suite in The Bronx · ★5.0 · 3 bedrooms · 2 beds · 1 bath,25419685,Kasia,Bronx,Parkchester,40.83819,-73.86827,Entire home/apt,109.0,30,21,2023-11-27,1.69,1,167,20,No License,5.0 ,3,2,1
679175170766060904,Rental unit in Brooklyn · ★4.69 · 1 bedroom · 1 bed · 1 bath,141407777,Sam,Brooklyn,South Slope,40.663918,-73.985901,Entire home/apt,128.0,30,13,2023-12-15,0.75,1,94,6,No License,4.69 ,1,1,1
5965198,Rental unit in Brooklyn · ★4.39 · 1 bedroom · 1 bed · 1 bath,1566167,Elizabeth,Brooklyn,Kensington,40.63599,-73.97229,Entire home/apt,58.0,30,31,2023-08-02,0.3,1,172,2,No License,4.39 ,1,1,1
25543393,Place to stay in Brooklyn · ★4.78 · 3 bedrooms · 3 beds · 1 bath,192723267,Blake,Brooklyn,Williamsburg,40.70794,-73.93511,Entire home/apt,300.0,30,73,2023-11-13,1.32,3,180,15,No License,4.78 ,3,3,1
698690204501230734,Rental unit in The Bronx · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,476120458,Arlenny,Bronx,Morris Heights,40.84795,-73.91769,Private room,86.0,30,5,2022-12-15,0.31,2,89,0,No License,4.40 ,1,1,1
888602080261477956,Rental unit in Queens · ★4.90 · 1 bedroom · 1 bed · 1 bath,469233712,Patricia,Queens,Astoria,40.7638313982016,-73.91839348180821,Entire home/apt,95.0,30,29,2023-12-12,3.66,1,41,29,No License,4.90 ,1,1,1
3636967,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 2 beds · 1 bath,7503643,Vida,Brooklyn,Greenpoint,40.72672,-73.93983,Entire home/apt,159.0,180,4,2021-11-21,0.04,18,218,0,No License,5.0 ,1,2,1
1029047003692025876,Home in Mount Vernon · ★New · 1 bedroom · 2 beds · 1 bath,547407759,Cheryl,Bronx,Wakefield,40.89975918547197,-73.83951172737014,Entire home/apt,198.0,2,2,2024-01-01,2.0,1,267,2,No License,New ,1,2,1
832617937579918212,Home in Queens · ★3.92 · 1 bedroom · 6 beds · 1.5 shared baths,222580763,María Fernanda,Queens,East Elmhurst,40.758202768159904,-73.86324260618218,Shared room,44.0,30,12,2023-08-21,1.19,4,365,12,No License,3.92 ,1,6,1.5
16220003,Rental unit in New York · ★4.63 · 1 bedroom · 2 beds · 1 bath,61549491,Nikolay,Manhattan,Washington Heights,40.8374,-73.94762,Entire home/apt,120.0,30,24,2023-12-04,1.26,1,90,11,No License,4.63 ,1,2,1
54214433,Bed and breakfast in New York · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,439600694,Adriel,Manhattan,Inwood,40.86349,-73.92735,Private room,52.0,30,18,2022-04-26,0.76,1,365,0,No License,4.78 ,1,1,1
7975360,Rental unit in Manhattan · ★4.69 · 2 bedrooms · 4 beds · 1 bath,12986426,Lovelynn,Manhattan,Harlem,40.82276,-73.95472,Entire home/apt,250.0,30,141,2023-10-29,1.41,2,88,9,No License,4.69 ,2,4,1
53594451,Condo in New York · ★4.85 · Studio · 2 beds · 1 bath,21628800,Desiree,Manhattan,Harlem,40.81635,-73.93936,Entire home/apt,190.0,30,62,2023-09-02,3.12,1,180,22,No License,4.85 ,Studio,2,1
53574404,Bungalow in Queens · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,433203831,Vicky,Queens,Astoria,40.768,-73.92242,Private room,61.0,30,104,2023-12-07,4.15,8,365,44,No License,4.56 ,1,1,1
718973260884648521,Home in Staten Island · ★5.0 · 6 bedrooms · 4 beds · 2 baths,6966161,Michal,Staten Island,St. George,40.64421,-74.08373,Entire home/apt,283.0,30,13,2023-08-04,0.85,1,35,9,No License,5.0 ,6,4,2
1024438031431346037,Rental unit in Queens · ★4.0 · 1 bedroom · 1 bed · 1 bath,523152997,Christian,Queens,Rego Park,40.71452588543457,-73.8595497471795,Private room,52.0,1,3,2023-12-22,2.5,4,210,3,Exempt,4.0 ,1,1,1
47000799,Condo in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,72027119,Darnell,Manhattan,Harlem,40.81521,-73.93943,Entire home/apt,105.0,30,4,2023-10-07,0.27,1,113,2,No License,5.0 ,1,1,1
54019918,Condo in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,437369234,Jason,Brooklyn,Sunset Park,40.65518,-74.00206,Private room,65.0,30,3,2023-09-13,0.16,3,365,2,No License,4.67 ,1,1,1
37626239,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,41424652,Dimitri,Brooklyn,Bay Ridge,40.62397,-74.02758,Private room,45.0,30,7,2019-09-15,0.13,1,63,0,No License,5.0 ,1,1,1
749276,Rental unit in Brooklyn · ★4.50 · 2 bedrooms · 5 beds · 1 bath,2413714,Wilfredo,Brooklyn,Bushwick,40.69266,-73.90362,Entire home/apt,100.0,30,124,2020-11-08,0.94,2,365,0,No License,4.50 ,2,5,1
20481814,Home in New York · ★4.61 · 1 bedroom · 1 bed · 1 private bath,110346349,Diana,Queens,Forest Hills,40.7139,-73.83523,Private room,57.0,30,36,2018-09-21,0.46,3,365,0,No License,4.61 ,1,1,1
847763623244057702,Home in Queens · ★4.86 · 1 bedroom · 1 bed · 2 shared baths,505240543,Jamerson,Queens,Long Island City,40.7522993533849,-73.93212988898412,Private room,75.0,30,22,2023-10-23,2.24,8,355,22,No License,4.86 ,1,1,2
763256920991512311,Home in Queens · ★5.0 · 2 bedrooms · 4 beds · 1 bath,160614016,Jenny,Queens,Ditmars Steinway,40.77064399830145,-73.90516548433708,Entire home/apt,128.0,30,5,2024-01-03,0.46,2,91,5,No License,5.0 ,2,4,1
556719526790566006,Home in Queens · 1 bedroom · 1 bed · 1 bath,439436915,Carl,Queens,Rosedale,40.66471,-73.72988,Entire home/apt,79.0,30,2,2022-12-17,0.15,1,278,0,No License,No rating,1,1,1
21570741,Rental unit in New York · ★4.73 · 1 bedroom · 1 bed · 1 bath,67974923,Starling,Manhattan,Inwood,40.86381,-73.91943,Entire home/apt,145.0,30,22,2022-01-29,0.3,1,180,0,No License,4.73 ,1,1,1
542600943912847794,Rental unit in Queens · ★5.0 · 1 bedroom · 1 bed · 1 bath,5202490,Jamal,Queens,Long Island City,40.7551,-73.93543,Entire home/apt,110.0,30,3,2023-06-28,0.13,1,89,1,No License,5.0 ,1,1,1
857981626958643059,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 2 beds · 1 bath,507633112,Darryl,Brooklyn,Clinton Hill,40.69322104508193,-73.96680884115993,Entire home/apt,203.0,30,9,2023-11-13,1.14,2,364,9,No License,4.67 ,1,2,1
38295943,Townhouse in Queens · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,137358866,Kaz,Queens,Jackson Heights,40.74993,-73.8783,Private room,34.0,30,9,2023-07-12,0.18,93,311,2,No License,4.89 ,1,1,1
775671824116090617,Serviced apartment in Queens · ★4.75 · 1 bedroom · 2 beds · 1 bath,15990609,Mark,Queens,Long Island City,40.74706,-73.94204,Entire home/apt,179.0,30,12,2023-10-08,1.18,1,95,12,No License,4.75 ,1,2,1
35267302,Home in Queens · 1 bedroom · 1 bed · 1 private bath,200239515,Shogo,Queens,Woodside,40.74445,-73.89296,Private room,43.0,30,1,2023-09-04,0.24,249,51,1,No License,No rating,1,1,1
986384222094429173,casa particular in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 2 baths,342403936,Chef Step,Brooklyn,Bedford-Stuyvesant,40.68357,-73.95748,Private room,100.0,1,19,2023-12-26,5.94,4,355,19,Exempt,5.0 ,1,1,2
47833551,Townhouse in Queens · ★3.67 · 1 bedroom · 1 bed · 1 shared bath,204704622,Momoyo,Queens,Jackson Heights,40.75292,-73.87632,Private room,42.0,30,3,2023-01-22,0.09,236,52,1,No License,3.67 ,1,1,1
749494745811966615,Condo in New York · ★5.0 · 1 bedroom · 3 beds · 1 bath,125545452,Room,Manhattan,Midtown,40.76433,-73.97712,Entire home/apt,165.0,30,25,2023-11-26,1.9,1,178,21,No License,5.0 ,1,3,1
694902191509735869,Loft in Brooklyn · ★4.62 · 1 bedroom · 1 bed · 1 bath,461074296,Joaquín,Brooklyn,Williamsburg,40.71732,-73.96622,Entire home/apt,202.0,30,29,2023-11-02,1.82,2,179,17,No License,4.62 ,1,1,1
53173426,Rental unit in Brooklyn · ★4.75 · 1 bedroom · 2 beds · 1 shared bath,430380865,Tara,Brooklyn,Bedford-Stuyvesant,40.69176,-73.93976,Private room,95.0,30,80,2023-12-06,3.09,1,232,37,No License,4.75 ,1,2,1
724442948593741619,Condo in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 bath,55033043,Yael,Brooklyn,Prospect-Lefferts Gardens,40.65814,-73.96099,Entire home/apt,170.0,30,5,2023-11-03,0.37,1,55,4,No License,5.0 ,1,1,1
850943,Loft in Brooklyn · ★4.66 · 1 bedroom · 2 beds · 1 bath,2843998,Julie,Brooklyn,Williamsburg,40.71204,-73.96459,Entire home/apt,129.0,30,38,2023-08-20,0.32,2,2,1,No License,4.66 ,1,2,1
950150663573223073,Rental unit in New York · Studio · 1 bed · 1 bath,504021889,Kamil,Manhattan,Financial District,40.7049014,-74.00724439999999,Entire home/apt,211.0,30,1,2023-10-09,0.33,1,270,1,No License,No rating,Studio,1,1
42380644,Rental unit in Brooklyn · ★4.65 · 1 bedroom · 1 bed · 1 shared bath,11308947,Michael,Brooklyn,Flatbush,40.65368,-73.96131,Private room,70.0,30,109,2023-10-02,2.31,3,90,23,No License,4.65 ,1,1,1
19808524,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 2 beds · 1 bath,781674,Stephen,Brooklyn,Fort Greene,40.68946,-73.97556,Entire home/apt,60.0,30,5,2020-01-14,0.06,1,21,0,No License,5.0 ,1,2,1
45595421,Rental unit in Brooklyn · ★4.94 · 1 bedroom · 1 bed · 1 bath,51237731,Rosa,Brooklyn,Prospect Heights,40.67936,-73.97236,Entire home/apt,254.0,30,32,2023-07-30,0.81,1,90,10,No License,4.94 ,1,1,1
691948132177132137,Rental unit in Brooklyn · ★4.92 · 3 bedrooms · 1 bed · 1 shared bath,28375704,Ricardo,Brooklyn,Bushwick,40.69836,-73.93457,Private room,75.0,30,12,2023-09-04,0.79,1,364,7,No License,4.92 ,3,1,1
11420840,Rental unit in Queens · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,45404393,Say,Queens,Jackson Heights,40.75193,-73.88206,Private room,250.0,30,51,2022-07-17,0.55,3,253,0,No License,4.86 ,1,2,1
808681126216283038,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,61391963,Stay With Vibe,Manhattan,Upper East Side,40.76270637791553,-73.96362517976698,Entire home/apt,74.0,30,2,2023-10-27,0.59,133,340,2,No License,No rating,1,1,1
32450788,Rental unit in Brooklyn · ★4.86 · 2 bedrooms · 2 beds · 1 bath,183360807,Gary,Brooklyn,Bushwick,40.70087,-73.92069,Entire home/apt,100.0,30,36,2023-12-15,0.61,2,177,3,No License,4.86 ,2,2,1
50070650,Rental unit in New York · ★5.0 · Studio · 1 bed · 1 bath,61391963,Stay With Vibe,Manhattan,Murray Hill,40.74733,-73.97452,Entire home/apt,165.0,30,5,2022-06-30,0.17,133,158,0,No License,5.0 ,Studio,1,1
1021120228485048462,Home in Brooklyn · ★New · 3 bedrooms · 4 beds · 2.5 baths,545634534,Israel,Brooklyn,Crown Heights,40.67668,-73.94439,Entire home/apt,310.0,3,1,2023-12-11,1.0,1,263,1,Exempt,New ,3,4,2.5
45616727,Rental unit in Brooklyn · ★4.50 · Studio · 1 bed · 1 bath,53821850,Jermaine,Brooklyn,Williamsburg,40.70701,-73.94727,Entire home/apt,98.0,1,20,2023-11-09,0.59,2,62,16,OSE-STRREG-0001037,4.50 ,Studio,1,1
1018846499520880656,Rental unit in Brooklyn · ★5.0 · 2 bedrooms · 4 beds · 1 bath,447283837,Shemi,Brooklyn,Prospect-Lefferts Gardens,40.66197139871948,-73.94167560532993,Entire home/apt,208.0,2,4,2023-12-08,2.31,12,243,4,Exempt,5.0 ,2,4,1
40986210,Rental unit in New York · ★4.65 · 1 bedroom · 1 bed · 1.5 shared baths,319642149,Jason,Manhattan,Upper West Side,40.79437,-73.96429,Private room,50.0,30,179,2023-12-16,3.66,3,90,35,No License,4.65 ,1,1,1.5
41352166,Rental unit in Brooklyn · ★4.95 · 2 bedrooms · 2 beds · 2 baths,110062117,Steve,Brooklyn,Bedford-Stuyvesant,40.67947,-73.94293,Entire home/apt,250.0,30,62,2023-11-26,1.82,1,354,24,No License,4.95 ,2,2,2
927649665571905225,Rental unit in New York · 1 bedroom · 1 bed · 2 baths,488737581,Leo,Manhattan,Harlem,40.80289153153145,-73.95796970813313,Private room,50.0,30,1,2023-09-21,0.28,17,365,1,No License,No rating,1,1,2
48959628,Rental unit in New York · ★4.94 · 1 bedroom · 1 bed · 1 bath,95303084,David,Manhattan,Upper West Side,40.78834,-73.96995,Entire home/apt,225.0,30,100,2023-12-04,3.31,9,272,40,No License,4.94 ,1,1,1
731237194552561506,Rental unit in New York · ★4.93 · Studio · 1 bed · 1 bath,95303084,David,Manhattan,Upper West Side,40.78842,-73.96844,Entire home/apt,230.0,30,41,2023-12-05,2.78,9,293,33,No License,4.93 ,Studio,1,1
804926135676472773,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 bath,203531377,Marko,Brooklyn,Greenpoint,40.72968,-73.95446,Entire home/apt,190.0,30,2,2023-10-03,0.33,3,269,2,No License,No rating,1,1,1
45671894,Rental unit in Brooklyn · ★4.75 · Studio · 1 bed · 1 bath,240480084,Brittany,Brooklyn,Greenpoint,40.72626,-73.95905,Entire home/apt,150.0,30,16,2023-05-19,0.42,1,177,1,No License,4.75 ,Studio,1,1
579736738715900510,Rental unit in New York · 1 bedroom · 1 bed · 1.5 shared baths,116052575,Damilola,Manhattan,East Harlem,40.79626,-73.94964,Private room,80.0,30,2,2022-08-14,0.09,1,269,0,No License,No rating,1,1,1.5
664390826805768659,Rental unit in New York · ★4.75 · 3 bedrooms · 3 beds · 1.5 baths,113723310,MyNyHousing,Manhattan,Upper West Side,40.78507,-73.97445,Entire home/apt,310.0,30,4,2023-08-15,0.3,60,340,3,No License,4.75 ,3,3,1.5
658273048022814825,Rental unit in Brooklyn · ★4.65 · 1 bedroom · 2 beds · 1 bath,2035021,Lyndon,Brooklyn,Crown Heights,40.6678839,-73.9588152,Entire home/apt,245.0,30,34,2023-10-22,1.96,4,365,12,No License,4.65 ,1,2,1
54229825,Condo in Brooklyn · ★4.93 · 2 bedrooms · 2 beds · 2 baths,420088913,Hershey,Brooklyn,Bedford-Stuyvesant,40.69609,-73.94497,Entire home/apt,468.0,30,99,2023-07-30,4.13,10,310,38,No License,4.93 ,2,2,2
639402947365116095,Rental unit in Brooklyn · ★4.85 · 2 bedrooms · 1.5 baths,385859541,Nerissa,Brooklyn,Bedford-Stuyvesant,40.67977,-73.90954,Entire home/apt,92.0,30,27,2023-08-20,1.41,2,107,10,No License,4.85 ,2,2,1.5
863097642422799837,Rental unit in Brooklyn · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,815725,Morgan,Brooklyn,Williamsburg,40.71147751022839,-73.96038337993546,Private room,55.0,30,12,2023-09-29,1.36,1,230,12,No License,4.92 ,1,1,1
13846099,Rental unit in New York · ★4.84 · 1 bedroom · 1 bed · 1 bath,12528462,Max,Manhattan,Morningside Heights,40.80595,-73.96556,Entire home/apt,250.0,30,19,2023-09-05,0.21,1,173,4,No License,4.84 ,1,1,1
27933429,Rental unit in Brooklyn · ★3.60 · Studio · 1 bed · 1 bath,35335572,Caleb,Brooklyn,Williamsburg,40.71668,-73.9573,Entire home/apt,110.0,30,5,2021-10-10,0.08,1,106,0,No License,3.60 ,Studio,1,1
